2020-01-23	0
2020-01-24	105
2020-01-25	212
2020-01-26	297
2020-01-27	365
2020-01-28	2131
2020-01-29	0
2020-01-30	1349
2020-01-31	903
2020-02-01	1347
2020-02-02	4024
2020-02-03	2345
2020-02-04	3156
2020-02-05	2987
2020-02-06	2447
2020-02-07	2841
2020-02-08	2147
2020-02-09	2531
2020-02-10	2097
2020-02-11	1638
2020-02-12	0
2020-02-13	14840
2020-02-14	6200
2020-02-15	1843
2020-02-16	1933
2020-02-17	1807
2020-02-18	1693
2020-02-19	349
2020-02-20	411
2020-02-21	220
2020-02-22	1422
2020-02-23	0
2020-02-24	203
2020-02-25	499
2020-02-26	401
2020-02-27	409
2020-02-28	318
2020-02-29	423
2020-03-01	570
2020-03-02	196
2020-03-03	114
2020-03-04	115
2020-03-05	134
2020-03-06	126
2020-03-07	74
2020-03-08	41
2020-03-09	36
2020-03-10	17
2020-03-11	13
2020-03-12	8
2020-03-13	5
2020-03-14	4
2020-03-15	4
